Parent Type,Parent Name,Parent Version,Child Name,Qty in DMA,Qty in PLM,Diff
ASSEMBLY,AK00002591912,--A,AK00002590113,0,1,-1
DITTO,AKD0002600930,--A,DTR00252112MJ,1,0,1
DITTO,AKD0002590086,--B,DTR0009907300,0,2,-2
SINGLE PART,AK00002584514,--A,AKD0002584515,0,1,-1
ASSEMBLY,AK00002591912,--A,AKD0002591946,0,1,-1
DITTO,AKD0002575845,--A,DTR0021158630,8,0,8
ASSEMBLY,AK00002600895,--B,AK00002600901,0,1,-1
DITTO,AKD0002590086,--B,DTR0009445001,0,1,-1
DITTO ASSY,AKD0002590085,--B,DTR0009907517,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0009907003,0,1,-1
DITTO,AKD0002590128,--A,DTR0021158630,8,0,8
DITTO ASSY,AKD0002590086,--B,DTR0000606830,0,1,-1
ASSEMBLY,AK00002600901,--B,AK00002591816,0,1,-1
ASSEMBLY,AK00002591912,--A,AKD0002591928,0,1,-1
ASSEMBLY,AK00002596414,--B,AK00002596415,0,1,-1
DITTO ASSY,AKD0002590085,--C,DTR0009907295,1,0,1
SINGLE PART,AK00002591916,--B,AKD0002591920,1,0,1
ASSEMBLY,AK00002596414,--B,AK00002596428,0,1,-1
ASSEMBLY,AK00002590093,--B,AK00002590094,1,0,1
DITTO ASSY,AKD0002590086,--C,DTR0000606822,1,0,1
BOUGHT,DTR0000543512,--A,DTR0000543512,2,1,1
DITTO,AKD0002590136,--A,DTR0009907289,12,0,12
ASSEMBLY,AK00002596414,--B,AKD0002596424,0,1,-1
DITTO ASSY,AKD0002590085,--C,DTR0000521206,1,0,1
DITTO ASSY,AKD0002590085,--C,DTR0000521212,1,0,1
ASSEMBLY,AK00002591912,--B,AK00002590113,1,0,1
DITTO,AKD0002591928,--A,DTR0000395546,8,0,8
SINGLE PART,AK00002591916,--B,AKD0002591924,1,0,1
DITTO,AKD0002596423,--A,DTR0000174952,1,0,1
ASSEMBLY,AK00002591912,--B,AKD0002591946,2,0,2
DITTO,AKD0002596420,--B,HHD0000043302,1,0,1
ASSEMBLY,AK00002590109,--A,AKD0002590132,2,1,1
DITTO,AKD0002613437,--A,DTR0009907094,3,0,3
ASSEMBLY,AK00002600901,--B,AK00002596414,0,1,-1
DITTO,AKD0002590086,--B,DTR0009909393,0,1,-1
DITTO,AKD0002590085,--B,DTR0009907735,0,2,-2
DITTO,AKD0002600930,--A,AKD0002334027,9,0,9
DITTO,AKD0002613437,--A,DTR0009907708,1,0,1
DITTO,AKD0002590085,--B,DTR0000521217,0,1,-1
ASSEMBLY,AK00002600895,--C,AK00002600899,1,0,1
DITTO,AKD0002590086,--B,DTR0009907003,0,1,-1
DITTO ASSY,AKD0002590085,--C,DTR0000521216,1,0,1
ASSEMBLY,AK00002591912,--B,AKD0002591928,2,0,2
DITTO ASSY,AKD0002590086,--B,DTR0009907052,0,1,-1
DITTO,AKD0002590086,--B,DTR0000606830,0,3,-3
DITTO,AKD0002600790,--A,DTR0000606817,2,0,2
DITTO ASSY,AKD0002590086,--C,DTR0009907295,1,0,1
ASSEMBLY,AK00002600901,--B,AK00002590093,0,1,-1
ASSEMBLY,AK00002590116,--A,AKD0002590128,2,1,1
DITTO ASSY,AKD0002590085,--B,DTR0000521201,0,1,-1
